county,Date,Date,Confirmed Covid Patients,Suspected Covid Patinets,Confirmed Covid ICU Patients,ICU suspected COVID Patients,ICU Beds Available
Stanislaus,July,2020-07-31,232.0,76.0,55.0,13.0,99.0
Stanislaus,June,2020-06-30,118.0,52.0,36.0,4.0,97.0
Stanislaus,March,2020-03-31,20.0,51.0,9.0,8.0,34.0
Stanislaus,May,2020-05-31,36.0,31.0,9.0,7.0,90.0
Stanislaus,October,2020-10-16,56.0,31.0,21.0,3.0,40.0
Stanislaus,September,2020-09-30,144.0,50.0,44.0,7.0,33.0
Sutter,April,2020-04-30,0.0,0.0,0.0,0.0,0.0
Sutter,August,2020-08-31,0.0,0.0,0.0,0.0,0.0
Sutter,July,2020-07-31,0.0,0.0,0.0,0.0,0.0
Sutter,June,2020-06-30,0.0,0.0,0.0,0.0,
Sutter,March,2020-03-31,0.0,0.0,0.0,0.0,
Sutter,May,2020-05-31,0.0,0.0,0.0,0.0,
Sutter,October,2020-10-16,0.0,0.0,0.0,0.0,0.0
Sutter,September,2020-09-30,0.0,0.0,0.0,0.0,0.0
Tehama,April,2020-04-30,0.0,3.0,0.0,1.0,8.0
Tehama,August,2020-08-31,2.0,2.0,2.0,2.0,7.0
Tehama,July,2020-07-31,1.0,1.0,1.0,1.0,6.0
Tehama,June,2020-06-30,0.0,1.0,0.0,1.0,7.0
Tehama,March,2020-03-31,0.0,2.0,0.0,0.0,4.0
Tehama,May,2020-05-31,0.0,1.0,0.0,1.0,8.0
Tehama,October,2020-10-16,7.0,0.0,2.0,0.0,4.0
Tehama,September,2020-09-30,6.0,0.0,2.0,0.0,5.0
Trinity,April,2020-04-30,0.0,0.0,0.0,0.0,0.0
Trinity,August,2020-08-31,0.0,4.0,0.0,0.0,0.0
Trinity,July,2020-07-31,0.0,2.0,0.0,0.0,0.0
